"Ticker","Nome","Negócios","Última (R$)","Variação"
"B3SA3","B3","126.606.100","14,67","-2,85%"
"CVCB3","CVC","38.347.700","2,39","-4,78%"
"CSAN3","Cosan","32.238.100","5,04","-0,20%"
"VALE3","Vale","31.198.500","80,08","+1,92%"
"PETR4","Petrobras","26.300.000","32,29","+0,37%"
"BBDC4","Banco Bradesco","25.010.600","19,17","+1,43%"
"MGLU3","Magazine Luiza","22.970.000","8,40","+0,48%"
"ITUB4","Itaú Unibanco","20.693.900","39,92","+0,94%"
"ABEV3","Ambev","20.664.800","14,07","-0,14%"
"BBAS3","Banco do Brasil","20.625.300","21,54","+1,08%"
"COGN3","Cogna","19.243.900","3,65","+1,39%"
"ITSA4","Itaúsa","18.781.600","12,11","+1,09%"
"CPLE3","Copel","18.771.400","12,46","+1,55%"
"RAIZ4","Raízen","16.938.800","0,79","-1,25%"
"USIM5","Usiminas","16.266.500","6,17","-2,99%"
"BEEF3","Minerva","16.009.700","5,67","+1,80%"
"VAMO3","Grupo Vamos","14.484.100","3,47","-1,42%"
"PCAR3","Grupo Pão de Açúcar","13.066.000","3,75","+2,18%"
"CEAB3","C&A","12.852.300","10,09","+4,34%"
"AXIA3","Axia Energia","11.896.600","51,30","+0,98%"
"ASAI3","Assaí","11.863.200","7,48","+0,40%"
"LREN3","Lojas Renner","11.766.900","13,62","+1,72%"
"CMIG4","Cemig","11.535.700","10,86","+0,65%"
"CSNA3","Siderúrgica Nacional","11.011.600","8,93","-3,04%"
"TIMS3","TIM","10.690.900","24,25","+4,98%"
"BRAV3","3R Petroleum","10.406.900","17,63","+2,38%"
"PRIO3","PetroRio","10.324.400","45,41","+1,07%"
"POMO4","Marcopolo","9.594.700","5,97","+1,19%"
"RENT3","Localiza","9.126.600","40,73","-0,20%"
"ENEV3","Eneva","8.938.300","20,94","+0,43%"
"GGBR4","Gerdau","8.888.200","22,20","+0,86%"
"EQTL3","Equatorial Energia","8.577.800","37,96","+1,31%"
"PETR3","Petrobras","7.453.300","34,45","+0,85%"
"RADL3","RaiaDrogasil","7.446.000","24,96","+1,46%"
"DIRR3","Direcional","7.394.200","13,05","-0,15%"
"NATU3","NATURA","7.189.500","7,47","+1,36%"
"RCSL4","Recrusul","7.035.600","10,25","-1,06%"
"ECOR3","EcoRodovias","6.958.000","10,36","-0,29%"
"VBBR3","Vibra Energia","6.889.400","25,80","+1,74%"
"AMBP3","Ambipar","6.863.700","0,28","+0,00%"
"QUAL3","Qualicorp","6.650.800","2,18","-5,63%"
"RAIL3","Rumo","6.610.600","13,40","-1,03%"
"SMFT3","Smart Fit","6.559.200","20,92","+0,10%"
"GMAT3","Grupo Mateus","6.330.100","4,56","-0,65%"
"GOAU4","Metalúrgica Gerdau","6.026.200","9,71","+0,62%"
"WEGE3","WEG","5.987.900","46,43","+0,45%"
"BPAC11","Banco BTG Pactual","5.683.800","55,10","+0,51%"
"CYRE3","Cyrela","5.548.700","25,36","+3,01%"
"VIVT3","Vivo","5.511.900","34,05","+3,97%"
"SIMH3","Simpar","5.480.400","5,34","-1,11%"
"MRVE3","MRV","5.476.400","7,38","+0,14%"
"UGPA3","Ultrapar","5.401.900","22,57","+2,78%"
"JHSF3","JHSF","5.281.300","8,70","+2,35%"
"ANIM3","Ânima Educação","5.072.200","3,80","+1,33%"
"CBAV3","CBA","5.061.500","8,78","+3,05%"
"HAPV3","Hapvida","4.942.900","13,23","-1,93%"
"BBSE3","BB Seguridade","4.912.000","35,59","+0,88%"
"VIVA3","Vivara","4.822.400","27,05","+0,78%"
"BBDC3","Banco Bradesco","4.682.600","16,45","+1,29%"
"MOTV3","Motiva","4.355.200","15,32","+0,52%"
"PMAM3","Paranapanema","4.346.600","0,85","+0,00%"
"SBSP3","Sabesp","4.113.800","127,84","+3,10%"
"MBRF3","Marfrig","3.970.000","19,31","+0,16%"
"MOVI3","Movida","3.912.400","9,68","-0,41%"
"CMIN3","CSN Mineração","3.822.400","5,46","-1,44%"
"CSMG3","COPASA","3.821.900","45,51","+1,11%"
"TOTS3","Totvs","3.659.200","44,64","+2,41%"
"SANB11","Banco Santander","3.606.400","33,54","+2,01%"
"GRND3","Grendene","3.453.700","4,55","+0,66%"
"MULT3","Multiplan","3.341.400","29,60","+1,20%"
"AUAU3","COBASI COMÉRCIO DE PRODUTOS BÁSICOS E INDUSTRIALIZADOS S.A.","3.292.300","3,15","-1,87%"
"SEER3","Ser Educacional","3.244.300","10,14","+0,80%"
"ONCO3","Oncoclínicas","3.161.600","2,23","+1,83%"
"YDUQ3","YDUQS","3.069.900","12,01","+1,09%"
"PGMN3","Pague Menos","3.044.100","6,25","-1,42%"
"KLBN11","Klabin","3.012.600","18,50","-0,48%"
"LJQQ3","Lojas Quero-Quero","3.009.500","2,22","-2,20%"
"GUAR3","Guararapes","2.966.000","8,15","+0,99%"
"GGPS3","GPS","2.737.200","16,71","+1,83%"
"IGTI11","Jereissati Participações","2.735.400","26,65","-0,34%"
"IGTI11","Iguatemi","2.735.400","26,65","-0,34%"
"AZEV4","Azevedo & Travassos","2.732.500","0,21","+0,00%"
"AURE3","Auren Energia","2.721.700","11,43","-0,61%"
"LWSA3","Locaweb","2.706.100","4,28","-1,15%"
"JSLG3","JSL","2.702.900","5,94","-3,88%"
"BRKM5","Braskem","2.682.200","8,20","-0,24%"
"RDOR3","Rede D'Or","2.681.500","40,14","-0,77%"
"EMBJ3","Embraer","2.677.200","98,61","-0,72%"
"EGIE3","Engie","2.634.900","31,24","+1,59%"
"BHIA3","Casas Bahia","2.501.400","2,85","+0,71%"
"SUZB3","Suzano","2.497.900","51,35","-0,96%"
"RAPT4","Randon","2.489.500","6,62","+0,61%"
"RECV3","PetroRecôncavo","2.466.900","10,60","+1,34%"
"CXSE3","Caixa Seguridade","2.438.800","16,39","+1,05%"
"HBSA3","Hidrovias do Brasil","2.301.600","3,93","+0,26%"
"ALOS3","Allos","2.288.600","28,50","+0,21%"
"HYPE3","Hypera","2.287.000","23,73","+1,71%"
"SMTO3","São Martinho","2.260.100","16,50","+2,04%"
"EZTC3","EZTEC","2.226.200","13,85","+1,02%"
"PLPL3","Plano&Plano","2.172.100","13,83","+1,54%"
"CURY3","Cury","2.167.600","32,39","-0,64%"
"AZZA3","Arezzo","2.124.000","23,95","+0,80%"
"AZTE3","AZT Energia","2.112.500","0,38","+0,00%"
"KEPL3","Kepler Weber","2.104.400","9,77","+1,03%"
"BRAP4","Bradespar","2.075.300","22,40","+1,31%"
"KLBN4","Klabin","2.037.600","3,70","+0,00%"
"AMER3","Americanas","1.991.900","4,65","-1,06%"
"FLRY3","Fleury","1.982.000","15,64","+0,26%"
"ITUB3","Itaú Unibanco","1.955.700","36,75","-0,11%"
"ODPV3","Odontoprev","1.840.300","10,84","+0,56%"
"IFCM3","Infracommerce","1.776.300","0,83","+1,22%"
"POSI3","Positivo","1.573.400","3,96","+1,02%"
"TUPY3","Tupy","1.542.700","11,55","+1,85%"
"AXIA6","Axia Energia","1.525.900","54,67","+1,00%"
"DESK3","Desktop","1.525.900","18,08","+0,44%"
"TEND3","Construtora Tenda","1.522.400","23,69","+4,04%"
"CASH3","Méliuz","1.519.700","3,91","-1,01%"
"PSSA3","Porto Seguro","1.514.100","46,15","-0,15%"
"ENGI11","Energisa","1.494.200","47,40","+1,61%"
"INTB3","Intelbras","1.428.000","10,73","+0,09%"
"SBFG3","Grupo SBF","1.400.600","13,30","+3,34%"
"CAML3","Camil Alimentos","1.360.800","5,99","-1,32%"
"CPFE3","CPFL Energia","1.314.500","51,83","+1,53%"
"VULC3","Vulcabras","1.240.100","18,06","+0,89%"
"BPAN4","Banco Pan","1.228.000","11,89","+0,34%"
"OIBR3","Oi","1.222.900","0,16","+23,08%"
"TAEE11","Taesa","1.196.100","40,06","+0,53%"
"TTEN3","3tentos","1.160.500","15,70","+1,03%"
"SLCE3","SLC Agrícola","1.059.300","15,15","+0,66%"
"DASA3","Dasa","1.048.800","3,66","-1,35%"
"TOKY3","Toky","1.038.100","0,58","-9,38%"
"SAPR11","Sanepar","1.021.000","43,22","-0,87%"
"ALPA4","Alpargatas","956.700","12,61","-1,94%"
"ISAE4","ISA Energia","904.600","26,05","+0,19%"
"BRSR6","Banrisul","881.700","16,51","+1,16%"
"AZEV3","Azevedo & Travassos","870.900","0,34","-2,86%"
"TFCO4","Track & Field","846.600","14,70","-0,81%"
"DXCO3","Dexco","831.000","5,32","+0,38%"
"SAPR4","Sanepar","817.700","8,31","-0,95%"
"NEOE3","Neoenergia","803.500","32,09","+0,09%"
"USIM3","Usiminas","733.500","6,09","-4,09%"
"MILS3","Mills","709.600","13,82","+0,14%"
"MYPK3","Iochpe-Maxion","705.200","10,04","+0,40%"
"UNIP6","Unipar","682.100","57,17","-5,61%"
"ESPA3","Espaçolaser","680.200","0,82","-4,65%"
"HBOR3","Helbor","662.500","2,44","+0,41%"
"MDNE3","Moura Dubeux","646.900","24,15","+0,54%"
"EVEN3","Even","638.000","7,04","-0,85%"
"RCSL3","Recrusul","635.800","3,57","+1,42%"
"FESA4","Ferbasa","613.200","6,82","+0,00%"
"IRBR3","IRB Brasil RE","599.400","54,11","-0,35%"
"POMO3","Marcopolo","597.000","5,55","-0,18%"
"ARML3","Armac","589.500","4,23","+4,70%"
"MLAS3","Multilaser","567.100","1,32","-2,22%"
"SOJA3","Boa Safra Sementes","553.200","8,45","-0,12%"
"ALUP11","Alupar","540.200","33,34","+1,93%"
"JALL3","Jalles Machado","522.700","2,83","-1,05%"
"SYNE3","SYN","482.500","4,73","-0,63%"
"SHUL4","Schulz","473.200","4,95","-2,37%"
"BLAU3","Blau Farmacêutica","465.600","8,80","+0,34%"
"TASA4","Taurus","465.200","5,47","-1,26%"
"MELK3","Melnick","459.600","3,62","+0,84%"
"MTRE3","Mitre Realty","436.700","3,69","+0,54%"
"LIGT3","Light","417.500","4,51","+0,22%"
"WIZC3","Wiz Soluções","404.000","9,33","-0,32%"
"PNVL3","Dimed","389.900","12,50","-0,64%"
"KLBN3","Klabin","387.900","3,73","+0,00%"
"BRBI11","BR Partners","379.700","17,66","-2,38%"
"AMAR3","Lojas Marisa","370.100","0,99","-1,98%"
"LAVV3","Lavvi Incorporadora","365.500","16,04","+0,06%"
"OPCT3","OceanPact","358.500","8,84","+0,68%"
"BMOB3","Bemobi","344.400","23,06","+0,17%"
"ABCB4","Banco ABC Brasil","344.000","24,06","+0,54%"
"OBTC3","CURSINHO INTERGRAUS S.A","333.200","8,77","-2,66%"
"BMGB4","Banco BMG","319.600","5,09","+0,39%"
"RANI3","Irani","319.200","8,86","+0,45%"
"AGRO3","BrasilAgro","301.700","20,70","+3,19%"
"GFSA3","Gafisa","298.400","3,91","-4,17%"
"ALLD3","Allied","293.200","8,32","-0,60%"
"ORVR3","Orizon","290.700","68,77","+0,48%"
"PINE4","Banco Pine","290.400","13,20","-2,22%"
"LUPA3","Lupatech","282.800","1,24","+4,20%"
"VVEO3","Viveo","279.900","1,35","-0,74%"
"TRIS3","Trisul","274.000","6,12","+0,00%"
"FIQE3","Unifique","270.300","4,94","-0,20%"
"MDIA3","M. Dias Branco","264.000","24,39","-0,53%"
"HBRE3","HBR Realty","257.300","3,47","-3,34%"
"CYRE4","Cyrela","248.900","24,06","+2,73%"
"LOGG3","LOG CP","243.900","25,73","-1,15%"
"CSED3","Cruzeiro do Sul Educacional","230.000","6,10","+0,16%"
"DEXP3","Dexxos","225.200","7,24","-2,16%"
"TGMA3","Tegma","196.900","35,45","+1,49%"
"SEQL3","Sequoia Logística","188.600","1,99","-6,57%"
"FRAS3","Fras-le","183.800","23,73","-0,46%"
"PRNR3","Priner","183.100","16,03","+0,63%"
"LEVE3","Mahle Metal Leve","182.000","33,65","-0,80%"
"VLID3","Valid","181.500","20,75","-0,62%"
"VITT3","Vittia","169.400","4,38","-1,57%"
"PTNT4","Pettenati","159.100","8,10","+3,18%"
"PTBL3","Portobello","153.400","3,18","-1,85%"
"BIOM3","Biomm","145.100","6,00","-12,41%"
"LPSB3","Lopes","143.100","1,55","-0,64%"
"ROMI3","Indústrias ROMI","138.500","7,94","+0,38%"
"VTRU3","VITRUBREPCOM","136.700","15,08","+1,34%"
"ENJU3","Enjoei","131.100","1,03","+0,00%"
"RNEW3","Renova Energia","129.800","0,94","-6,00%"
"BRST3","Brisanet","127.500","3,38","+2,42%"
"ITSA3","Itaúsa","115.900","12,22","+0,58%"
"SAPR3","Sanepar","115.000","9,76","-0,61%"
"ALPK3","Estapar","111.000","4,47","-0,67%"
"BRAP3","Bradespar","110.200","19,64","+1,45%"
"ETER3","Eternit","99.300","3,93","-1,26%"
"CMIG3","Cemig","96.000","14,37","+1,05%"
"SANB4","Banco Santander","92.300","17,14","+1,66%"
