CNPJ,Nome,Nome_Curto,Codigo_CVM,Ticker
12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,Aeris Energy,25283,AERI3
10.338.320/0001-00,AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A,Afluente T,22179,AFLT3
21.240.146/0001-84,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,AgroGalaxy,25658,AGXY3
42.771.949/0001-35,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,Alliança,24058,AALR3
20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,Allied,25330,ALLD3
05.878.397/0001-32,ALLOS S.A.,Allos,22357,"ALOS3, ALOS99, ALSO3"
60.537.263/0001-66,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",Estapar,24953,"ALPK3, ALPK9"
61.079.117/0001-05,ALPARGATAS SA,Alpargatas,10456,"ALPA3, ALPA4"
16.811.931/0001-00,ALPHAVILLE S.A.,Alphaville,25275,"AVLL3, AVLL11"
08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,Alupar,21490,"ALUP3, ALUP4, ALUP11"
07.526.557/0001-00,AMBEV S.A.,Ambev,23264,ABEV3
12.648.266/0001-24,AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,Ambipar,24961,AMBP3
00.776.574/0001-56,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,Americanas,20990,AMER3
33.050.071/0001-58,AMPLA ENERGIA E SERVIÇOS S.A.,Ampla Energia,3050,CBEE3
09.288.252/0001-32,ANIMA HOLDING S/A,Ânima Educação,23248,ANIM3
00.242.184/0001-04,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",Armac,26069,ARML3
75.315.333/0001-09,ATACADÃO S.A.,Atacadão,24171,CRFB3
07.857.093/0001-14,AURA MINERALS INC,Aura Minerals Inc,80187,AURA33
28.594.234/0001-23,AUREN ENERGIA S.A,Auren Energia,26620,AURE3
61.351.532/0001-68,AZEVEDO & TRAVASSOS SA,Azevedo & Travassos,11975,"AZEV3, AZEV4, AZEV11, AZEV12"
09.305.994/0001-29,AZUL S.A.,Azul,24112,AZUL4
16.590.234/0001-76,AZZAS 2154 S.A.,Azzas 2154,22349,ARZZ3
09.346.601/0001-25,"B3 S.A. - BRASIL, BOLSA, BALCÃO",B3,21610,B3SA3
28.195.667/0001-06,BANCO ABC BRASIL S/A,Banco ABC Brasil,20958,"ABCB4, ABCB10"
60.746.948/0001-12,BANCO BRADESCO S.A.,Banco Bradesco,906,"BBDC3, BBDC4"
30.306.294/0001-45,BANCO BTG PACTUAL S/A,Banco BTG Pactual,22616,"BPAC3, BPAC5, BPAC11"
00.000.000/0001-91,BANCO DO BRASIL S.A.,Banco do Brasil,1023,"BBAS11, BBAS12, BBAS3"
62.144.175/0001-20,BANCO PINE S/A,Banco Pine,20567,"PINE3, PINE4, PINE11"
90.400.888/0001-42,BANCO SANTANDER (BRASIL) S.A.,Banco Santander,20532,"SANB3, SANB4, SANB11"
28.127.603/0001-78,BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO,Banestes,1155,"BEES3, BEES4"
17.344.597/0001-94,BB SEGURIDADE PARTICIPAÇÕES S.A.,BB Seguridade,23159,BBSE3
01.107.327/0001-20,BBM LOGÍSTICA S.A.,Bbm Logística,24660,BBML3
09.042.817/0001-05,BEMOBI MOBILE TECH S.A.,Bemobi,25500,BMOB3
58.430.828/0001-60,BLAU FARMACÊUTICA S.A.,Blau Farmacêutica,24627,BLAU3
10.807.374/0001-77,BOA SAFRA SEMENTES S.A,Boa Safra Sementes,25704,SOJA3
50.564.053/0001-03,BOMBRIL S.A. - EM RECUPERAÇÃO JUDICIAL,Bombril,12190,"BOBR3, BOBR4"
03.847.461/0001-92,BRADESPAR S/A,Bradespar,18724,"BRAP3, BRAP4"
07.628.528/0001-59,BRASILAGRO CIA BRAS DE PROP AGRICOLAS,BrasilAgro,20036,AGRO3
42.150.391/0001-70,BRASKEM S.A.,Braskem,4820,"BRKM3, BRKM5, BRKM6"
12.091.809/0001-55,BRAVA ENERGIA S.A.,Brava Energia,25291,RRRP3
01.838.723/0001-27,BRF S.A.,Brf,16292,BRFS3
45.242.914/0001-05,C&A MODAS S.A.,C&A,24848,CEAB3
22.543.331/0001-00,CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,Caixa Seguridade,23795,CXSE3
64.904.295/0001-03,CAMIL ALIMENTOS S/A,Camil Alimentos,24228,CAML3
00.001.180/0001-26,CENTRAIS ELETRICAS BRASILEIRAS SA,Centrais Eletricas Brasileiras Sa,2437,"ELET3, ELET5, ELET6"
83.878.892/0001-55,CENTRAIS ELETRICAS DE SANTA CATARINA S.A,Celesc,2461,"CLSC3, CLSC4"
15.139.629/0001-94,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA,COELBA,14524,"CEEB3, CEEB5, CEEB36"
07.047.251/0001-70,CIA ENERG CEARA - COELCE,Coelce,14869,"COCE3, COCE5, COCE6"
17.155.730/0001-64,CIA ENERG MINAS GERAIS - CEMIG,Cemig,2453,"CMIG3, CMIG4"
08.324.196/0001-81,CIA ENERGÉTICA DO RIO GRANDE DO NORTE,Cia Energética Do Rio Grande Do Norte,18139,"CSRN3, CSRN5, CSRN6"
15.141.799/0001-03,CIA FERRO LIGAS BAHIA FERBASA,Ferbasa,3069,"FESA3, FESA4"
43.776.517/0001-80,CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO,Sabesp,14443,SBSP3
